THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
4614166,AUSTRALIA,RAAF,1970-10-17,340885,SEADAB,B-57,PHAN RANG,10.225555,104.612777,,0,859.0,,,0,B57,B57,,,MP    11,23,5.0,CLOSE AIR SUPPORT,6102,1,,D,2RAF,,,SOUTH VIETNAM,,101332N1043646E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    11,VS,26829284,KINETIC,-1,-1,,,,859.0,0
4614229,AUSTRALIA,RAAF,1970-10-13,340948,SEADAB,B-57,PHAN RANG,11.098611,106.847777,SUSP ENEMY LOC,0,1230.0,,,0,B57,B57,,,MP    51,26,5.0,CLOSE AIR SUPPORT,6190,1,,D,2RAF,,,SOUTH VIETNAM,,110555N1065052E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    51,YT,26829347,KINETIC,-1,-1,,,RNO WEATHER,1230.0,0
4614763,AUSTRALIA,RAAF,1971-02-12,341482,SEADAB,B-57,PHAN RANG,16.761388,106.810833,,6,2210.0,,,0,B57,B57,,,MP    81,19,5.0,CLOSE AIR SUPPORT,6113,1,,N,2RAF,,,SOUTH VIETNAM,,164541N1064839E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,VC,26829881,KINETIC,-1,-1,,,,2210.0,49200
4614807,AUSTRALIA,RAAF,1970-06-06,341526,SEADAB,B-57,PHAN RANG,11.5575,107.269722,,6,1505.0,,,0,B57,B57,,,MP    91,15,5.0,CLOSE AIR SUPPORT,5839,1,,D,2RAF,,,SOUTH VIETNAM,,113327N1071611E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    91,YT,26829925,KINETIC,-1,-1,,,,1505.0,49200
4614826,AUSTRALIA,RAAF,1971-03-10,341545,SEADAB,B-57,PHAN RANG,16.7625,106.564166,SUSP ENEMY LOC,0,1055.0,,,0,B57,B57,,,MAGPIE,23,5.0,CLOSE AIR SUPPORT,6111,1,,D,2RAF,,,SOUTH VIETNAM,,164545N1063351E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MAGPIE,XC,26829944,KINETIC,-1,-1,,,SEC EXPLOSION,1055.0,0
4614959,AUSTRALIA,RAAF,1970-11-26,341678,SEADAB,A-4,TAN SON NHUT,,,,0,800.0,,,0,A4,A4,,,,0,97.0,OTHER,7444,6,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26830077,NONKINETIC,-1,-1,,,,800.0,0
4615144,AUSTRALIA,RAAF,1971-03-30,341863,SEADAB,B-57,PHAN RANG,16.346666,107.275833,,3,1720.0,,,0,B57,B57,,,MAGPIE81,18,5.0,CLOSE AIR SUPPORT,6199,1,,N,2RAF,,,SOUTH VIETNAM,,162048N1071633E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MAGPIE81,VC,26830262,KINETIC,-1,-1,,,,1720.0,24600
4615197,AUSTRALIA,RAAF,1970-09-08,341916,SEADAB,B-57,PHAN RANG,15.648333,107.331944,,6,1135.0,,,0,B57,B57,,,MP    81,18,5.0,CLOSE AIR SUPPORT,6143,1,,D,2RAF,,,SOUTH VIETNAM,,153854N1071955E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,YB,26830315,KINETIC,-1,-1,,,,1135.0,49200
4615257,AUSTRALIA,RAAF,1971-01-31,341976,SEADAB,B-57,PHAN RANG,9.427222,104.851388,,0,755.0,,,0,B57,B57,,,MP    11,15,5.0,CLOSE AIR SUPPORT,6101,1,,D,2RAF,,,SOUTH VIETNAM,,092538N1045105E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    11,VR,26830375,KINETIC,-1,-1,,,,755.0,0
4615295,AUSTRALIA,RAAF,1970-09-19,348107,SEADAB,B-57,PHAN RANG,10.598611,107.003611,,6,1228.0,,,0,B57,B57,,,MP    71,14,5.0,CLOSE AIR SUPPORT,6104,1,,D,2RAF,,,SOUTH VIETNAM,,103555N1070013E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    71,YS,26836506,KINETIC,-1,-1,,,,1228.0,49200
