,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
507538,508579,UNITED STATES OF AMERICA,USN,1970-05-02,543162,CACTA6570,F-8,WESTPAC 31,,,,0,0.0,,,0,F8J,F8,,,,40,12.0,BAS CMBT AIR  PATROL,B0037,1,ROLLING THUN,D,N09276,NOT OBS,UNKNOWN,,,,,,MISSION: RT57C - CONTROL_TYPE: UNKNOWN - RTCOR:,,26407763,KINETIC,0,0,,,,0.0,-1
735508,736616,UNITED STATES OF AMERICA,USAF,1968-11-09,4548874,CACTA6669,A-37,BIEN HOA,11.2000643,106.9406893,CAMP,8,2345.0,500LB GP MK-82,,500,A37A,A37,,,,22,5.0,CLOSE AIR SUPPORT,JA052,2,IN COUNTRY - SVN-RAP     21,D,JAPNU0,,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PYT12203870,##ABC11112222,9999N,MISSION: VS11-5200 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),YT,26232848,KINETIC,0,0,,,,2355.0,-1
4323730,4327485,UNITED STATES OF AMERICA,USAF,1970-09-06,692645,SEADAB,F-4,DANANG,,,,0,0.0,,,0,F4,F4,,,GF    25,0,,,6003,2,,,366TFW,,,SOUTH VIETNAM,,,,,UNIT: 366TFW - CALLSIGN: GF    25,,27181044,NONKINETIC,-1,-1,,,,0.0,0
4355724,4359566,UNITED STATES OF AMERICA,USMC,1971-03-08,866180,SEADAB,A-6,DANANG,16.162222,108.041944,,11,310.0,,,0,A6A,A6,,,RN   455,12,5.0,CLOSE AIR SUPPORT,6455,1,,D,1MAW,,,SOUTH VIETNAM,,160944N1080231E,DDMMSSN DDDMMSSE,,UNIT: 1MAW - CALLSIGN: RN   455,BU,27354579,KINETIC,-1,-1,,,,310.0,121000
184717,185178,UNITED STATES OF AMERICA,USN,1970-09-08,239900,SEADAB,A-4,TONKIN GULF,,,,1,955.0,MK 82 GP BOMB (500) LD,,500,A4,A4,,,,75,1.0,STRIKE,1739,4,,D,77CTF,,,LAOS,,,,,UNIT: 77CTF - CALLSIGN:,,26728299,KINETIC,-1,-1,,,,955.0,5310
2489025,2490056,UNITED STATES OF AMERICA,USAF,1968-12-20,1154918,CACTA6669,A-1,NAKHON PHANOM,20.431944,104.181944,MOTOR VEHICLE,2,1805.0,250LB BLU-10,,236,A1H,A1,,,,73,1.0,STRIKE,JJ023,2,STEEL TIGER - STEEL TIGER,N,JBK3L0,SCATTERED,NONE,LAOS,,202555N1041055E,DDMMSSN DDDMMSSE,9999HL,MISSION: SL20&355 - CONTROL_TYPE: NONE - RTCOR: UNKNOWN,VJ,24243248,KINETIC,0,0,,,,1825.0,-1
2934299,2935302,UNITED STATES OF AMERICA,USAF,1965-12-06,371619,CACTA6570,A-1,BIEN HOA,11.429469500000002,106.32909,AREA\DEPOT,10,950.0,CBU-14/25,,250,A1,A1,,,,50,5,CLOSE AIR SUPPORT,02421,2,IN COUNTRY,M,JAEWX0,CLEAR,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXT453637,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XT,23932353,KINETIC,0,0,,,,1000.0,-1
3207345,3208453,UNITED STATES OF AMERICA,USAF,1970-12-11,63634,CACTA6570,F-4,UDORN AB,18.217,104.991,ROAD,12,630.0,500LB GP MK-82,,500,F4D,F4,,,,24,1,STRIKE,JS020,2,BARREL ROLL,D,JBJ3D0,NOT OBS,,LAOS,,18217N104991E,DD.DDDN DDD.DDDE,,MISSION: BR0305 - CONTROL_TYPE:  - RTCOR: ST/E,VF,23842374,KINETIC,0,0,,,,630.0,-1
4163834,4167218,UNITED STATES OF AMERICA,USAF,1970-01-31,929475,SEADAB,OV-10,BIEN HOA,11.490277,106.052777,PERSONNEL\ANY,14,1605.0,LAU3/MA RKT LCHR (19),,342,OV10,OV10,,,ISSUE 17,27,84.0,TARCON,8017,1,,D,19TAS,,,SOUTH VIETNAM,,112925N1060310E,DDMMSSN DDDMMSSE,,UNIT: 19TAS - CALLSIGN: ISSUE 17,XT,27417874,NONKINETIC,-1,-1,,,NODAMAGE MISS,1605.0,60340
811049,812157,UNITED STATES OF AMERICA,USMC,1969-08-09,3741482,CACTA6669,F-4,DANANG,16.10948313,108.0883154,AREA\DEPOT,57,1002.0,2.75IN HE RKT,,18,F4B,F4,,,,14,5.0,CLOSE AIR SUPPORT,MX005,2,IN COUNTRY - HOSTAGE,D,M01542,SCATTERED,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PAT889831,##ABC111222,0505HL,MISSION: VS6009 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BU,25921291,KINETIC,0,19,,,,1013.0,-1
