,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
4123120,4126413,VIETNAM (SOUTH),VNAF,1973-05-11,713834,SEADAB,UH-1,BIEN HOA,,,,0,800.0,,,0,UH1,UH1,,,,33,53.0,MAINTENANCE,0801,1,,D,231HS,,,SOUTH VIETNAM,,,,,UNIT: 231HS - CALLSIGN:,,27202233,NONKINETIC,-1,-1,,,,800.0,0
4512078,4516272,VIETNAM (SOUTH),VNAF,1974-04-30,1683012,SEADAB,F-5,BIEN HOA,,,,24,800.0,MK 82 GP BOMB (500) LD,,500,F5,F5,,,,160,5.0,CLOSE AIR SUPPORT,0845,1,,D,536FS,,,SOUTH VIETNAM,,,,,UNIT: 536FS - CALLSIGN:,,28171410,KINETIC,-1,-1,,,,800.0,127440
4426959,4430954,VIETNAM (SOUTH),VNAF,1972-11-13,1234341,SEADAB,O-1,DANANG,,,,0,800.0,,,0,O1,O1,,,,113,52.0,TRAINING,0873,8,,D,110LS,,,SOUTH VIETNAM,,,,,UNIT: 110LS - CALLSIGN:,,27722740,NONKINETIC,-1,-1,,,,800.0,0
4577369,4581714,VIETNAM (SOUTH),VNAF,1972-05-29,166977,SEADAB,A-1,PLEIKU,14.358332999999998,108.020833,,4,320.0,,,0,A1,A1,,,JUPITR41,17,5.0,CLOSE AIR SUPPORT,C258,2,,D,530FS,,,SOUTH VIETNAM,,142130N1080115E,DDMMSSN DDDMMSSE,,UNIT: 530FS - CALLSIGN: JUPITR41,ZA,26655376,KINETIC,-1,-1,,,,320.0,20000
4346485,4350303,VIETNAM (SOUTH),VNAF,1971-06-30,820423,SEADAB,C-47,TAN SON NHUT,,,,164,800.0,PASSENGERS,,0,C47,C47,,,,143,49.0,LOG CARGO CARRYING,0709,12,,D,415TS,,,SOUTH VIETNAM,,,,,UNIT: 415TS - CALLSIGN:,,27308822,NONKINETIC,-1,-1,,,,800.0,0
1301525,1302633,VIETNAM (SOUTH),VNAF,1968-03-17,3205073,CACTA6669,F-5,BIEN HOA,10.96564118,106.6856962,TROOPS,6,125.0,750LB BLU-1/27,,694,F5C,F5,,,,33,5.0,CLOSE AIR SUPPORT,VW011,3,IN COUNTRY - SOUTH VIETNAM,D,V50100,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXT845126,##ABC111222,0708H,MISSION: VS4085 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XS,25666260,KINETIC,0,0,,,,140.0,-1
1095351,1096459,VIETNAM (SOUTH),VNAF,1969-06-11,3539483,CACTA6669,A-1,BINH THUY,8.969335800000003,105.32729840000002,BUILDINGS,42,320.0,2.75IN HE RKT,,18,A1H,A1,,,,20,3.0,AIR INTERDICTION,VB005,2,IN COUNTRY - LUCKY,D,V50040,SCATTERED,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PWQ36309140,##ABC11112222,9999N,MISSION: VS4711 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,25830127,KINETIC,0,0,,,,330.0,-1
3995366,3998348,VIETNAM (SOUTH),VNAF,1972-11-19,1740640,SEADAB,UH-1,PLEIKU,,,,0,800.0,,,0,UH1,UH1,,,,15,97.0,OTHER,0776,1,,D,235HS,,,SOUTH VIETNAM,,,,,UNIT: 235HS - CALLSIGN:,,28229038,NONKINETIC,-1,-1,,,,800.0,0
4097677,4100909,VIETNAM (SOUTH),VNAF,1970-01-23,583672,SEADAB,H-34,DANANG,,,,0,800.0,,,0,H34,H34,,,4,50,52.0,TRAINING,7376,4,,D,219HS,,,SOUTH VIETNAM,,,,,UNIT: 219HS - CALLSIGN:        4,,27072071,NONKINETIC,-1,-1,,,,800.0,0
2621951,2622978,VIETNAM (SOUTH),VNAF,1966-04-04,1302731,CACTA6669,A-1,BIEN HOA,10.61831082,106.34099209999998,UNKNOWN\UNIDENTIFIED,0,300.0,,,0,A1,A1,,,,30,1.0,STRIKE,JB004,2,IN COUNTRY,D,V50030,OVERCAST,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXS470740,##ABC111222,3009N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XS,24376377,KINETIC,0,105,,,,315.0,-1
