,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
3696184,3698404,VIETNAM (SOUTH),VNAF,1971-03-26,1466450,SEADAB,A-37,BINH THUY,10.7975,106.0475,,4,30.0,,,0,A37,A37,,,SATAN 11,19,5.0,CLOSE AIR SUPPORT,E881,2,,D,526FS,,,SOUTH VIETNAM,,104751N1060251E,DDMMSSN DDDMMSSE,,UNIT: 526FS - CALLSIGN: SATAN 11,XS,27954849,KINETIC,-1,-1,,,,30.0,21240
1033991,1035099,VIETNAM (SOUTH),VNAF,1967-05-17,3409792,CACTA6669,A-1,BIEN HOA,10.88103701,106.22321200000002,TROOPS,0,504.0,,,0,A1H,A1,,,,41,6.0,DIRECT AIR SUPPORT,VW009,2,IN COUNTRY - SOUTH VIETNAM,D,V50010,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXT340030,##ABC111222,0309N,MISSION: VS3436 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XS,25768591,KINETIC,0,50,,,,523.0,-1
3686685,3688884,VIETNAM (SOUTH),VNAF,1971-02-01,1431428,SEADAB,A-1,TAN SON NHUT,10.881666,106.043333,,16,400.0,,,0,A1,A1,,,PHOENIXB,28,5.0,CLOSE AIR SUPPORT,D274,2,,D,514FS,,,CAMBODIA,,105254N1060236E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENIXB,XS,27919827,KINETIC,-1,-1,,,,400.0,84960
4110305,4113568,VIETNAM (SOUTH),VNAF,1970-07-30,653812,SEADAB,AC-47,TAN SON NHUT,,,,0,1430.0,,,0,AC47,AC47,,,H LONG 5,12,54.0,AIRBORNE ALERT,A105,1,,N,817CS,,,,,,,,UNIT: 817CS - CALLSIGN: H LONG 5,,27142211,NONKINETIC,-1,-1,,,,1430.0,0
2167521,2168583,VIETNAM (SOUTH),VNAF,1966-10-19,1656838,CACTA6669,A-1,BINH THUY,9.85665989,105.3627963,BUILDINGS,6,412.0,200/260 M81/88,,263,A1H,A1,,,,70,03,AIR INTERDICTION,VB004,4,IN COUNTRY - JELLYFISH,D,V50040,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PWR401895,##ABC111222,9999N,MISSION: VS4055 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,24671570,KINETIC,0,0,,,,423.0,-1
48227,48353,VIETNAM (SOUTH),VNAF,1971-11-26,1375304,SEADAB,UH-1,BINH THUY,,,,6,800.0,BATTLEFIELD CASUALTYS,,0,UH1,UH1,,,14,70,65.0,CASUALTY EVACUATION,0773,14,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:       14,,27863703,NONKINETIC,-1,-1,,,,800.0,0
3246521,3247668,VIETNAM (SOUTH),VNAF,1970-04-11,1122744,SEADAB,A-37,BINH THUY,10.090555,105.983055,,0,1130.0,,,0,A37,A37,,,PANTHR51,12,5.0,CLOSE AIR SUPPORT,E324,2,,D,520FS,,,SOUTH VIETNAM,,100526N1055859E,DDMMSSN DDDMMSSE,,UNIT: 520FS - CALLSIGN: PANTHR51,XS,27611143,KINETIC,-1,-1,,,,1130.0,0
2390238,2391274,VIETNAM (SOUTH),VNAF,1968-12-16,1469141,CACTA6669,F-5,BIEN HOA,10.36495379,105.8594281,TROOPS,8,250.0,M-3,,50,F5C,F5,,,,27,3.0,AIR INTERDICTION,VW014,2,IN COUNTRY - SOUTH VIETNAM,D,V50100,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PWS94404580,##ABC11112222,0309C,MISSION: VS12-4036 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,24519122,KINETIC,0,0,,,,256.0,-1
25398,25463,VIETNAM (SOUTH),VNAF,1971-09-13,1261341,SEADAB,C-47,TAN SON NHUT,,,,0,800.0,,,0,C47,C47,,,,20,97.0,OTHER,0713,1,,D,415TS,,,SOUTH VIETNAM,,,,,UNIT: 415TS - CALLSIGN:,,27749740,NONKINETIC,-1,-1,,,,800.0,0
90910,91155,VIETNAM (SOUTH),VNAF,1972-03-19,1596644,SEADAB,UH-1,BINH THUY,,,,150,800.0,PASSENGERS,,0,UH1,UH1,,,99,400,46.0,COMBT TROOP CARRYING,0745,99,,D,227HS,,,SOUTH VIETNAM,,,,,UNIT: 227HS - CALLSIGN:       99,,28085043,NONKINETIC,-1,-1,,,,800.0,0
3309348,3310645,VIETNAM (SOUTH),VNAF,1974-03-09,1572530,SEADAB,UH-1,BIEN HOA,,,,47,800.0,PASSENGERS,,0,UH1,UH1,,,,95,47.0,COMBT CARGO CARRYING,0840,1,,D,223HS,,,SOUTH VIETNAM,,,,,UNIT: 223HS - CALLSIGN:,,28060929,NONKINETIC,-1,-1,,,,800.0,0
3849517,3852136,VIETNAM (SOUTH),VNAF,1970-05-23,501028,SEADAB,A-1,TAN SON NHUT,11.923611,105.1425,,0,200.0,,,0,A1,A1,,,PHOENIXA,62,5.0,CLOSE AIR SUPPORT,D908,3,,D,514FS,,,SOUTH VIETNAM,,115525N1050833E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENIXA,WT,26989427,KINETIC,-1,-1,,,DAMAGED,200.0,0
3531927,3533781,VIETNAM (SOUTH),VNAF,1972-07-05,486434,SEADAB,C-7,PHU CAT,,,,0,800.0,,,0,C7,C7,,,,32,52.0,TRAINING,0884,2,,D,429TS,,,SOUTH VIETNAM,,,,,UNIT: 429TS - CALLSIGN:,,26974833,NONKINETIC,-1,-1,,,,800.0,0
4215924,4219429,VIETNAM (SOUTH),VNAF,1972-01-17,1198885,SEADAB,A-1,PLEIKU,14.124166,108.966388,,0,600.0,,,0,A1,A1,,,JUPITR61,45,5.0,CLOSE AIR SUPPORT,C263,2,,D,530FS,,,SOUTH VIETNAM,,140727N1085759E,DDMMSSN DDDMMSSE,,UNIT: 530FS - CALLSIGN: JUPITR61,BR,27687284,KINETIC,-1,-1,,,,600.0,0
2097367,2098444,VIETNAM (SOUTH),VNAF,1966-03-22,2066030,CACTA6669,A-1,BINH THUY,10.78210976,106.0764634,UNKNOWN\UNIDENTIFIED,0,600.0,,,0,A1,A1,,,,80,10.0,DEF CMBT AIR PATROL,J0005,3,IN COUNTRY,D,V50040,,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXS180920,##ABC111222,0309N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),XS,24976294,NONKINETIC,0,0,,,,745.0,-1
2031752,2032829,VIETNAM (SOUTH),VNAF,1966-01-27,1970958,CACTA6669,A-1,BIEN HOA,10.39915735,106.7784726,FORD,18,440.0,200/260 M81/88,,263,A1,A1,,,,20,03,AIR INTERDICTION,V0002,3,IN COUNTRY,D,V50040,SCATTERED,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXS950500,##ABC111222,0999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),YS,24908662,KINETIC,0,0,,,,445.0,-1
1408604,1409712,VIETNAM (SOUTH),VNAF,1966-11-24,2727361,CACTA6669,A-1,PLEIKU,14.42064131,108.4044248,TROOPS,4,800.0,500LB GP M-64,,561,A1H,A1,,,,18,6.0,DIRECT AIR SUPPORT,JZ007,2,IN COUNTRY,D,V50105,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBR20509570,##ABC11112222,0407NF,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZB,25401947,KINETIC,0,0,,,,820.0,-1
473742,474783,VIETNAM (SOUTH),VNAF,1970-03-13,216517,CACTA6570,A-37,NAH TRANG,12.9367722,108.0418134,BUILDINGS,8,920.0,,,0,A37B,A37,,,,47,3.0,AIR INTERDICTION,VZ007,4,IN COUNTRY - SIPA,D,V50105,SCATTERED,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PAQ79003200,##ABC11112222,9999NU,MISSION: VS2110 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZU,26373967,KINETIC,0,0,,,,1000.0,-1
328180,329047,VIETNAM (SOUTH),VNAF,1970-08-18,989189,SEADAB,UH-1,DANANG,,,,0,800.0,,,0,UH1,UH1,,,2,17,53.0,MAINTENANCE,7329,2,,D,213HS,,,SOUTH VIETNAM,,,,,UNIT: 213HS - CALLSIGN:        2,,27477588,NONKINETIC,-1,-1,,,,800.0,0
3273818,3275027,VIETNAM (SOUTH),VNAF,1970-12-16,1317568,SEADAB,UH-1,NHA TRANG,,,,0,800.0,,,0,UH1,UH1,,,9,60,44.0,ARMED HELICOPTER,7372,9,,D,215HS,,,SOUTH VIETNAM,,,,,UNIT: 215HS - CALLSIGN:        9,,27805967,KINETIC,-1,-1,,,,800.0,0
3136957,3138067,VIETNAM (SOUTH),VNAF,1965-10-15,918418,CACTA6570,A-1,BIEN HOA,10.189589300000002,105.8233469,UNKNOWN\UNIDENTIFIED,0,825.0,,,0,A1,A1,,,,120,3,AIR INTERDICTION,01399,4,IN COUNTRY,D,V50040,BROKEN,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PWS905264,##ABC111222,9999,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,23771310,KINETIC,0,0,,,,1025.0,-1
3603579,3605603,VIETNAM (SOUTH),VNAF,1973-01-12,1138627,SEADAB,UH-1,,,,,0,0.0,,,0,UH1,UH1,,,,0,,,V028,0,,,,,,SOUTH VIETNAM,,,,,UNIT:  - CALLSIGN:,,27627026,NONKINETIC,-1,-1,1.0,,,0.0,0
368810,369764,VIETNAM (SOUTH),VNAF,1970-04-26,1689363,SEADAB,A-1,TAN SON NHUT,11.653055,106.29,SUSP ENEMY LOC,12,900.0,MK 82 GP BOMB (500) LD,,500,A1,A1,,,PHOENIXA,46,5.0,CLOSE AIR SUPPORT,D207,2,,D,514FS,,,SOUTH VIETNAM,,113911N1061724E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENIXA,XT,28177761,KINETIC,-1,-1,,,TARGET,900.0,63720
4382324,4386229,VIETNAM (SOUTH),VNAF,1974-05-01,1000755,SEADAB,UH-1,PLEIKU,,,,1,800.0,CARGO (TONS),,0,UH1,UH1,,,,167,48.0,LOG TROOP CARRYING,0835,1,,D,235HS,,,SOUTH VIETNAM,,,,,UNIT: 235HS - CALLSIGN:,,27489154,NONKINETIC,-1,-1,,,,800.0,0
2826819,2827828,VIETNAM (SOUTH),VNAF,1968-02-25,1115105,CACTA6669,C-47,TAN SON NHUT,10.0731061,105.7436453,TROOPS,63,0.0,MK-24,,25,C47D,C47,,,,55,37,FLARE DROP,VQ008,1,IN COUNTRY - SOUTH VIETNAM,N,V50160,CLEAR,GRND FWD AIR CNTL,SOUTH VIETNAM,,48PWS818135,##ABC111222,,MISSION: VS - CONTROL_TYPE: GRND FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,24206152,NONKINETIC,0,0,,,,0.0,-1
388073,389085,VIETNAM (SOUTH),VNAF,1973-01-18,1800746,SEADAB,A-1,BIEN HOA,11.274444,106.43388799999998,,16,125.0,,,0,A1,A1,,,PHOENX11,30,5.0,CLOSE AIR SUPPORT,D310,2,,D,514FS,,,SOUTH VIETNAM,,111628N1062602E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENX11,XT,28289144,KINETIC,-1,-1,,,,125.0,84960
4426420,4430414,VIETNAM (SOUTH),VNAF,1973-06-03,1233801,SEADAB,UH-1,PLEIKU,,,,0,800.0,,,0,UH1,UH1,,,,77,50.0,ADMINISTRATIVE,0742,1,,D,235HS,,,SOUTH VIETNAM,,,,,UNIT: 235HS - CALLSIGN:,,27722200,NONKINETIC,-1,-1,,,,800.0,0
3467080,3468761,VIETNAM (SOUTH),VNAF,1972-03-23,1699515,SEADAB,A-37,BINH THUY,,,,0,100.0,,,0,A37,A37,,,SATAN 51,0,74.0,EXTRACTION (GPES),E433,2,,D,526FS,,,SOUTH VIETNAM,,,,,UNIT: 526FS - CALLSIGN: SATAN 51,,28187913,NONKINETIC,-1,-1,,,,100.0,0
1851918,1853007,VIETNAM (SOUTH),VNAF,1969-06-19,2249133,CACTA6669,A-37,NAH TRANG,12.71089493,109.10786090000002,BASE,0,354.0,,,0,A37A,A37,,,,10,3.0,AIR INTERDICTION,VZ003,2,IN COUNTRY - SIPA,D,V50105,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBQ94900580,##ABC11112222,9999NU,MISSION: VS2802 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),BQ,25101697,KINETIC,0,500,,,,359.0,-1
3412236,3413792,VIETNAM (SOUTH),VNAF,1974-02-22,700808,SEADAB,C-119,TAN SON NHUT,,,,0,800.0,,,0,C119,C119,,,,20,52.0,TRAINING,0752,1,,D,720TS,,,SOUTH VIETNAM,,,,,UNIT: 720TS - CALLSIGN:,,27189207,NONKINETIC,-1,-1,,,,800.0,0
3424906,3426494,VIETNAM (SOUTH),VNAF,1971-04-01,790659,SEADAB,C-119,TAN SON NHUT,,,,1,800.0,CARGO (TONS),,0,C119,C119,,,,113,48.0,LOG TROOP CARRYING,7316,7,,D,413TS,,,SOUTH VIETNAM,,,,,UNIT: 413TS - CALLSIGN:,,27279058,NONKINETIC,-1,-1,,,,800.0,0
3272943,3274150,VIETNAM (SOUTH),VNAF,1972-03-31,1308725,SEADAB,A-1,PLEIKU,14.544166,107.853611,,6,435.0,,,0,A1,A1,,,JUPITR71,25,5.0,CLOSE AIR SUPPORT,C273,2,,D,530FS,,,SOUTH VIETNAM,,143239N1075113E,DDMMSSN DDDMMSSE,,UNIT: 530FS - CALLSIGN: JUPITR71,ZB,27797124,KINETIC,-1,-1,,,,435.0,31860
2875980,2876989,VIETNAM (SOUTH),VNAF,19700610,220496,CACTA6570,A-37,BINH THUY,9.47241744,105.0562446,BUILDINGS,12,123.0,500LB GP MK-82,,500,A37B,A37,,,,25,3,AIR INTERDICTION,VB003,3,IN COUNTRY - PANTHER-41,D,V50040,NOT OBS,ABN FWD AIR CNTL (TIGER HOUND),SOUTH VIETNAM,,48PWR06504700,##ABC11112222,9999N,MISSION: VS208 - CONTROL_TYPE: ABN FWD AIR CNTL (TIGER HOUND) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23869394,KINETIC,0,0,,,,133.0,-1
4021868,4024910,VIETNAM (SOUTH),VNAF,1972-04-18,141227,SEADAB,UH-1,PLEIKU,,,,56,800.0,CARGO (TONS),,0,UH1,UH1,,,9,57,45.0,COMMAND/CONTROL,0793,9,,D,229HS,,,SOUTH VIETNAM,,,,,UNIT: 229HS - CALLSIGN:        9,,26629626,NONKINETIC,-1,-1,,,,800.0,0
3506501,3508282,VIETNAM (SOUTH),VNAF,1972-06-10,192593,SEADAB,A-37,BINH THUY,10.932222,105.832777,FOX HOLES,0,950.0,,,0,A37,A37,,,SATAN D1,18,5.0,CLOSE AIR SUPPORT,E448,2,,D,526FS,,,SOUTH VIETNAM,,105556N1054958E,DDMMSSN DDDMMSSE,,UNIT: 526FS - CALLSIGN: SATAN D1,WS,26680992,KINETIC,-1,-1,,,DESTROYED,950.0,0
4036706,4039792,VIETNAM (SOUTH),VNAF,1972-05-30,269063,SEADAB,A-1,TAN SON NHUT,,,,0,0.0,,,0,A1,A1,,,PHOENIXC,0,,,D307,2,,,514FS,,,SOUTH VIETNAM,,,,,UNIT: 514FS - CALLSIGN: PHOENIXC,,26757462,NONKINETIC,-1,-1,,,,0.0,0
3535301,3537161,VIETNAM (SOUTH),VNAF,1972-05-20,522266,SEADAB,UH-1,BINH THUY,,,,48,800.0,PASSENGERS,,0,UH1,UH1,,,55,247,65.0,CASUALTY EVACUATION,0736,55,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:       55,,27010665,NONKINETIC,-1,-1,,,,800.0,0
80399,80612,VIETNAM (SOUTH),VNAF,1974-01-04,1551606,SEADAB,U-17,PLEIKU,,,,0,800.0,,,0,U17,U17,,,,13,18.0,VISUAL RECCE,0728,1,,D,118LS,,,SOUTH VIETNAM,,,,,UNIT: 118LS - CALLSIGN:,,28040005,NONKINETIC,-1,-1,,,,800.0,0
3856217,3858846,VIETNAM (SOUTH),VNAF,1971-10-08,525074,SEADAB,A-37,BINH THUY,11.784444,105.975833,,8,920.0,,,0,A37,A37,,,SATAN 71,27,5.0,CLOSE AIR SUPPORT,E437,2,,D,526FS,,,CAMBODIA,,114704N1055833E,DDMMSSN DDDMMSSE,,UNIT: 526FS - CALLSIGN: SATAN 71,XT,27013473,KINETIC,-1,-1,,,,920.0,42480
3258762,3259936,VIETNAM (SOUTH),VNAF,1970-04-08,1212693,SEADAB,UH-1,BINH THUY,,,,0,800.0,,,0,UH1,UH1,,,3,15,52.0,TRAINING,7352,3,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:        3,,27701092,NONKINETIC,-1,-1,,,,800.0,0
4263583,4267200,VIETNAM (SOUTH),VNAF,1974-05-30,1445501,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,208,18.0,VISUAL RECCE,0750,1,,D,122LS,,,SOUTH VIETNAM,,,,,UNIT: 122LS - CALLSIGN:,,27933900,NONKINETIC,-1,-1,,,,800.0,0
4282630,4286285,VIETNAM (SOUTH),VNAF,1972-02-18,1569771,SEADAB,A-37,DANANG,14.678333,107.33,,8,740.0,,,0,A37,A37,,,TIGER 81,24,3.0,AIR INTERDICTION,B117,2,,D,516FS,,,LAOS,,144042N1071948E,DDMMSSN DDDMMSSE,,UNIT: 516FS - CALLSIGN: TIGER 81,YB,28058170,KINETIC,-1,-1,,,,740.0,42480
3594077,3596080,VIETNAM (SOUTH),VNAF,1973-07-10,1106237,SEADAB,UH-1,DANANG,,,,0,800.0,,,0,UH1,UH1,,,,51,97.0,OTHER,0744,1,,D,257HS,,,SOUTH VIETNAM,,,,,UNIT: 257HS - CALLSIGN:,,27594636,NONKINETIC,-1,-1,,,,800.0,0
279573,280311,VIETNAM (SOUTH),VNAF,1972-05-09,722386,SEADAB,A-37,DANANG,15.6825,108.308333,CONFIRM ENEMY LOC,2,910.0,MK81 GP BOMB (250),,250,A37,A37,,,TIGER B1,15,5.0,CLOSE AIR SUPPORT,B122,2,,D,516FS,,,SOUTH VIETNAM,,154057N1081830E,DDMMSSN DDDMMSSE,,UNIT: 516FS - CALLSIGN: TIGER B1,BU,27210785,KINETIC,-1,-1,,,RNO ****,910.0,5200
224286,224881,VIETNAM (SOUTH),VNAF,1971-05-19,443824,SEADAB,UH-1,PLEIKU,,,,1,800.0,PASSENGERS,,0,UH1,UH1,,,8,110,48.0,LOG TROOP CARRYING,0774,8,,D,235HS,,,SOUTH VIETNAM,,,,,UNIT: 235HS - CALLSIGN:        8,,26932223,NONKINETIC,-1,-1,,,,800.0,0
4313973,4317703,VIETNAM (SOUTH),VNAF,1971-09-30,179289,SEADAB,A-1,BIEN HOA,11.8,105.94,,0,420.0,,,0,A1,A1,,,DRAGON B,29,5.0,CLOSE AIR SUPPORT,D333,2,,D,518FS,,,CAMBODIA,,114800N1055624E,DDMMSSN DDDMMSSE,,UNIT: 518FS - CALLSIGN: DRAGON B,XT,26667688,KINETIC,-1,-1,,,DESTROYED,420.0,0
1570869,1571976,VIETNAM (SOUTH),VNAF,1967-10-03,2387547,CACTA6669,A-1,BINH THUY,10.10871396,105.9637068,BUILDINGS,6,420.0,CBU-14/25,,250,A1H,A1,,,,17,03,AIR INTERDICTION,VB005,2,IN COUNTRY - SNAKEYE,D,V50040,BROKEN,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXS05901750,##ABC11112222,0157 N,MISSION: VS4554 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),XS,25192620,KINETIC,0,0,,,,430.0,-1
2703445,2704472,VIETNAM (SOUTH),VNAF,1967-05-02,986493,CACTA6669,A-1,BINH THUY,10.03869153,106.0876043,BUILDINGS,0,705.0,,,0,A1H,A1,,,,23,3.0,AIR INTERDICTION,VB004,3,IN COUNTRY,D,V50040,SCATTERED,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXS195098,##ABC111222,9999N,MISSION: VS4774 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),XS,24082626,KINETIC,0,272,,,,719.0,-1
2365714,2366760,VIETNAM (SOUTH),VNAF,1967-01-22,1439916,CACTA6669,A-1,BINH THUY,10.2315798,106.4808475,BUILDINGS,6,510.0,500BLU11/23/32,,500,A1H,A1,,,,48,3.0,AIR INTERDICTION,VB004,3,IN COUNTRY,D,V50040,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXS625313,##ABC111222,9999N,MISSION: VS4054 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),XS,24494567,KINETIC,0,0,,,,525.0,-1
792563,793671,VIETNAM (SOUTH),VNAF,1966-08-20,4727822,CACTA6669,A-1,BINH THUY,9.72377439,105.277855,UNKNOWN\UNIDENTIFIED,0,0.0,,,0,A1,A1,,,,50,35.0,ESCORT/COVER,J0001,3,IN COUNTRY,D,V50040,,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PWR308748,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,26290151,NONKINETIC,0,0,,,,0.0,-1
2329071,2330119,VIETNAM (SOUTH),VNAF,1966-07-16,1396598,CACTA6669,A-1,TAN SON NHUT,11.07039088,106.7082612,TROOPS,12,710.0,500LB GP M-64,,561,A1,A1,,,,50,06,DIRECT AIR SUPPORT,VS007,3,IN COUNTRY,D,V50100,CLEAR,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXT869242,##ABC111222,0708N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XT,24457864,KINETIC,0,0,,,,720.0,-1
2876980,2877989,VIETNAM (SOUTH),VNAF,19700630,223879,CACTA6570,A-1,TAN SON NHUT,11.09609312,106.9427456,TROOPS,16,330.0,500LB GP MK-82,,500,A1H,A1,,,,25,3,AIR INTERDICTION,VQ004,2,IN COUNTRY,D,V50030,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PYT125272,##ABC111222,0509C,MISSION: VS3957 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),YT,23870448,KINETIC,0,0,,,,340.0,-1
373081,374044,VIETNAM (SOUTH),VNAF,1973-07-17,1706565,SEADAB,O-2,DANANG,,,,0,800.0,,,0,O2,O2,,,,120,53.0,MAINTENANCE,0878,1,,D,110LS,,,SOUTH VIETNAM,,,,,UNIT: 110LS - CALLSIGN:,,28194963,NONKINETIC,-1,-1,,,,800.0,0
325388,326248,VIETNAM (SOUTH),VNAF,1972-04-11,968178,SEADAB,UH-1,BIEN HOA,,,,209,800.0,PASSENGERS,,0,UH1,UH1,,,77,200,46.0,COMBT TROOP CARRYING,0809,77,,D,221HS,,,SOUTH VIETNAM,,,,,UNIT: 221HS - CALLSIGN:       77,,27456577,NONKINETIC,-1,-1,,,,800.0,0
4013920,4016939,VIETNAM (SOUTH),VNAF,1972-04-13,1838600,SEADAB,UH-1,BINH THUY,,,,350,800.0,PASSENGERS,,0,UH1,UH1,,,99,200,46.0,COMBT TROOP CARRYING,0776,99,,D,211HS,,,SOUTH VIETNAM,,,,,UNIT: 211HS - CALLSIGN:       99,,28326998,NONKINETIC,-1,-1,,,,800.0,0
4660646,4665199,VIETNAM (SOUTH),VNAF,1972-08-18,610486,SEADAB,A-1,BIEN HOA,,,,0,0.0,,,0,A1,A1,,,PHOENX G,0,,,D351,2,,,514FS,,,SOUTH VIETNAM,,,,,UNIT: 514FS - CALLSIGN: PHOENX G,,27098885,NONKINETIC,-1,-1,,,,0.0,0
2624458,2625485,VIETNAM (SOUTH),VNAF,1969-10-27,1305584,CACTA6669,A-37,PLEIKU,14.20996094,107.6935998,TROOPS,0,255.0,7.62MM,,6,A37B,A37,,,,30,3.0,AIR INTERDICTION,VZ003,2,IN COUNTRY - SIPA B,D,V50105,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PYA910725,##ABC111222,9999NU,MISSION: VS2895 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZA,24378892,KINETIC,0,20,,,,300.0,-1
4668010,4010640,VIETNAM (SOUTH),VNAF,1974-07-02,1808606,SEADAB,EC-47,TAN SON NHUT,,,,0,800.0,,,0,EC47,EC47,,,,50,52.0,TRAINING,0803,1,,D,718RS,,,SOUTH VIETNAM,,,,,UNIT: 718RS - CALLSIGN:,,28297004,NONKINETIC,-1,-1,,,,800.0,0
